Word	AffDict	AffMeaning	AffNorms	ALPIN	ANGST	BAWL-R	EmotionDict	LANG	Morph	PolarityClues	Polart	SentiMerge	SentiWS	SePL	WordNorms
aalglatt	NA	NA	-0.332	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	NA	-0.252690159850024	NA	NA	NA
Abart	NA	NA	-0.2938	NA	NA	-0.525423728813559	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.345243788028802	NA	NA	NA
abartig	NA	NA	-0.5354	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-1	-0.417552798666523	NA	-0.54	NA
Abbau	NA	NA	-0.261	NA	NA	-0.322033898305085	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.29253032722221	-0.0580000000000001	NA	-0.457817772778403
abbauen	NA	NA	-0.2108	NA	NA	-0.254237288135593	NA	NA	0.228186663349776	-0.228186663349776	-0.7	-0.289217733897744	-0.0578	NA	NA
Abbild	NA	NA	0.0266	NA	NA	-0.0508474576271187	NA	NA	NA	0	NA	0.0219135296087951	NA	NA	0.100112485939258
abbrechen	NA	NA	-0.3786	NA	NA	NA	NA	NA	NA	-0.228186663349776	NA	-0.34361076788377	-0.3482	-0.641	NA
Abbruch	NA	NA	-0.2902	0.257223291130224	NA	-0.220338983050848	NA	NA	-0.228186663349776	-0.228186663349776	-1	-0.258811270037668	-0.00480000000000003	NA	-0.428571428571428
abbruchreif	NA	NA	-0.4746	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	NA	-0.297951165362159	NA	NA	NA
abdanken	NA	NA	-0.2812	NA	NA	-0.11864406779661	NA	NA	NA	-0.228186663349776	NA	-0.544415714410389	-0.00480000000000003	NA	NA
Abdankung	NA	NA	-0.3968	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	NA	-0.0518849362395815	-0.00480000000000003	NA	NA
Abdruck	NA	NA	-0.014	NA	NA	-0.0169491525423729	NA	0.030640302120845	NA	0	NA	0.0351157878042729	NA	NA	-0.0101237345331832
Abend	NA	NA	0.5732	0.36910370270886	NA	0.576271186440678	NA	0.506924012476909	NA	NA	NA	-0.0349680665789414	NA	NA	0.489313835770529
Abenteuer	NA	0.5520264681555	0.621	NA	0.620689655172414	NA	NA	NA	NA	0	NA	0.0150413817600399	NA	0.743	NA
abenteuerlich	NA	NA	0.2966	NA	NA	NA	NA	NA	0.176239912925334	0.176239912925334	0.7	0.596453313279584	NA	0.543	NA
abergläubisch	NA	NA	-0.2986	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.527971336606553	NA	NA	NA
aberwitzig	NA	NA	-0.075	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.527971336606553	NA	NA	NA
Abfall	NA	NA	-0.4512	NA	-0.586206896551724	-0.559322033898305	-0.228186663349776	-0.46237339920372	NA	-0.228186663349776	NA	-0.366476630697902	-0.00480000000000003	NA	-0.44206974128234
abfällig	NA	NA	-0.5286	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-1	-0.421467025617234	-0.3197	NA	NA
Abfuhr	NA	NA	-0.3798	NA	NA	-0.440677966101695	NA	NA	NA	-0.228186663349776	NA	-0.544415714410389	-0.3367	NA	NA
Abgang	NA	NA	-0.21	0.166887909599322	NA	-0.305084745762712	NA	NA	NA	-0.228186663349776	NA	-0.46983122682069	NA	NA	NA
abgebrannt	NA	NA	-0.2982	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.365277625886971	NA	NA	NA
abgebrüht	NA	NA	-0.2868	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-1	-0.395878045662539	NA	NA	NA
abgedreht	NA	NA	0.0206	NA	NA	NA	-0.228186663349776	NA	NA	NA	-1	-0.429720842143896	NA	0	NA
abgedroschen	NA	NA	-0.0926	NA	NA	NA	-0.228186663349776	NA	NA	-0.228186663349776	NA	-0.462497596043839	-0.1839	NA	NA
abgerissen	NA	NA	-0.4362	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	NA	-1	-0.429720842143896	NA	NA	NA
Abgeschiedenheit	NA	NA	0.146	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.5	-0.28376782925905	NA	NA	NA
Abgeschmacktheit	NA	NA	-0.3198	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	NA	-1	-0.324833584557925	NA	NA	NA
Abgeschmacktheit	NA	NA	-0.3198	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	NA	-1	-0.324833584557925	NA	NA	NA
abgestanden	NA	NA	-0.4638	NA	NA	NA	NA	NA	NA	-0.228186663349776	-0.7	-0.253503936031679	-0.0367999999999999	NA	NA
Abgestumpftheit	NA	NA	-0.5512	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-1	-0.598624120560612	NA	NA	NA
Abgrund	NA	NA	-0.446	NA	NA	-0.457627118644068	-0.228186663349776	NA	NA	-0.228186663349776	NA	-0.544415714410389	-0.3465	NA	-0.635545556805399
Abgrund	NA	NA	-0.446	NA	NA	-0.457627118644068	-0.228186663349776	NA	NA	-0.228186663349776	NA	-0.544415714410389	-0.3465	NA	-0.635545556805399
abgründig	NA	NA	-0.2234	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.346955455953683	-0.1719	0.75	NA
abgrundtief	NA	NA	-0.6242	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-1	-0.351968287744493	NA	NA	NA
abhängig	NA	-0.622497932175351	-0.141	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.209480799991807	-0.00480000000000003	NA	NA
Abhängigkeit	NA	NA	-0.2884	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.424884406404071	-0.3653	NA	-0.664791901012373
Abitur	NA	0.54110835401158	0.0236000000000001	NA	NA	0.288135593220339	NA	NA	NA	NA	0	0.0836009906583179	NA	NA	NA
abkanzeln	NA	NA	-0.6318	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	NA	-1	-0.429720842143896	NA	NA	NA
abklären	NA	NA	-0.0568	NA	NA	NA	NA	NA	0.176239912925334	0	0.5	0.343150907239459	NA	NA	NA
Ablauf	NA	NA	-0.204	NA	NA	0.0169491525423728	NA	0.0626541788302324	NA	0	NA	0.0586938067212714	NA	NA	-0.0258717660292462
ablehnen	-0.037037037037037	-0.381637717121588	-0.1592	0.166887909599322	NA	-0.302093718983051	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.605201355897572	-0.6458	NA	NA
ablehnend	NA	NA	-0.1852	NA	NA	NA	-0.228186663349776	NA	NA	-0.228186663349776	-0.7	-0.25143768274908	NA	NA	NA
Ablehnung	NA	NA	-0.3228	0.196999703442956	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.508042047412825	-0.5118	NA	-0.556805399325084
ablenken	-0.148148148148148	NA	-0.2988	NA	NA	NA	NA	NA	NA	-0.228186663349776	NA	-0.0148325947721247	-0.042	NA	NA
Ablenkung	NA	NA	-0.1138	NA	NA	NA	NA	NA	NA	-0.228186663349776	NA	-0.526623774687886	-0.0435	NA	0.158605174353206
ableugnen	NA	NA	-0.5314	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-1	-0.425446039792729	NA	NA	NA
abmachen	NA	NA	-0.1156	NA	NA	NA	NA	NA	0.176239912925334	0.176239912925334	0.7	0.316807303990416	0.004	NA	NA
Abneigung	NA	NA	-0.3506	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.424850929237116	-0.00480000000000003	NA	NA
Abnutzung	NA	NA	-0.3608	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.396976693797666	-0.00480000000000003	NA	NA
abraten	0.222222222222222	NA	-0.2362	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.561175376539573	-0.3353	-0.909	NA
Abrechnung	NA	NA	-0.262	0.196999703442956	NA	NA	NA	NA	-0.228186663349776	NA	-0.7	-0.207126841696977	NA	NA	-0.268841394825647
Abreibung	NA	NA	-0.2834	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	NA	-1	-0.35468804747507	NA	NA	NA
Abriss	NA	NA	-0.3806	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-1	-0.288461874714639	-0.00480000000000003	NA	NA
absagen	NA	NA	-0.2444	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.659850917029362	NA	NA	NA
Absatz	NA	NA	-0.222	NA	NA	-0.0129611166101695	NA	-0.0205819006141748	NA	-0.228186663349776	0	-0.284736792357375	NA	NA	NA
abschaffen	NA	NA	-0.2058	0.2824397913762	NA	NA	NA	NA	NA	-0.228186663349776	NA	-0.324269419411483	-0.00480000000000003	NA	NA
Abschaffung	NA	NA	-0.1178	0.367879879309445	NA	NA	NA	NA	NA	-0.228186663349776	NA	-0.0385874905904429	-0.0580000000000001	NA	-0.142857142857143
abschalten	NA	NA	-0.1072	NA	NA	NA	NA	NA	0.176239912925334	-0.228186663349776	0.7	-0.00672567659157941	NA	NA	NA
abschätzig	NA	NA	-0.4688	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-1	-0.339057806594479	-0.00480000000000003	NA	NA
Abschaum	NA	NA	-0.5964	NA	-0.73448275862069	NA	-0.228186663349776	-0.671632488481151	-0.228186663349776	-0.228186663349776	NA	-0.539569345290548	NA	NA	NA
Abscheu	NA	NA	-0.5702	NA	-0.724137931034483	-0.694915254237288	-0.228186663349776	-0.577623355357515	-0.228186663349776	-0.228186663349776	-1	-0.431312786459889	NA	NA	NA
abscheulich	NA	NA	-0.726	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-1	-0.294159056418454	NA	NA	NA
abscheulich	NA	NA	-0.726	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-1	-0.294159056418454	NA	NA	NA
abscheulich	NA	NA	-0.726	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-1	-0.294159056418454	NA	NA	NA
Abscheulichkeit	NA	NA	-0.618	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	NA	-0.269448125711777	NA	NA	NA
abschieben	-0.558024691358025	NA	-0.6074	NA	NA	NA	NA	NA	0.228186663349776	NA	-1	-0.32485821144752	NA	NA	NA
abschließen	NA	NA	NA	0.372775172907103	NA	NA	NA	NA	0.176239912925334	0.176239912925334	0.5	-0.00511774921259456	0.004	NA	NA
abschrecken	NA	NA	-0.3342	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.271877220329608	-0.178	NA	NA
abschreckend	NA	NA	-0.4734	NA	NA	NA	-0.228186663349776	NA	NA	-0.228186663349776	NA	-0.518559636647767	-0.049	NA	NA
Abschreckung	NA	NA	-0.4984	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.278700965265541	-0.00480000000000003	NA	NA
abschreiben	NA	NA	-0.0628	NA	NA	NA	NA	NA	NA	-0.228186663349776	NA	-0.466714759205083	-0.1847	-0.552	NA
Abschuss	NA	NA	-0.2334	NA	NA	NA	NA	NA	-0.228186663349776	NA	-0.7	-0.290532292999772	-0.00480000000000003	NA	NA
abschwächen	NA	NA	-0.2816	NA	NA	NA	NA	NA	0	-0.228186663349776	0	-0.203458159400436	-0.00480000000000003	NA	NA
abschwören	NA	NA	-0.2344	NA	NA	NA	NA	NA	0.176239912925334	-0.228186663349776	0.7	-0.018487146441305	NA	NA	NA
absehen	NA	NA	-0.0875999999999999	0.372775172907103	NA	NA	NA	NA	0.176239912925334	-0.228186663349776	0.5	-0.0412843427997884	NA	NA	NA
abseits	NA	NA	0.0222	0.22711149728659	NA	-0.355932203389831	NA	NA	NA	-0.228186663349776	NA	-0.291281255770777	NA	NA	NA
Absicht	NA	NA	0.0731999999999999	0.312551585219835	NA	0.220338983050848	NA	-0.0141791252722973	NA	0	NA	-0.186616550637047	NA	NA	-0.0168728908886387
absolut	NA	NA	0.1026	0.330178467650095	NA	NA	NA	NA	0.176239912925334	0.176239912925334	0.7	0.151724881851397	0.2418	-0.129	NA
absonderlich	NA	NA	-0.2836	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.35819295247532	NA	NA	NA
Absonderung	NA	NA	-0.3576	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.349223086586846	NA	NA	NA
absorbieren	NA	NA	-0.0359999999999999	NA	NA	NA	NA	NA	-0.228186663349776	0	-0.7	-0.126691080121076	NA	NA	NA
Abspaltung	NA	NA	-0.17	0.257223291130224	NA	NA	NA	NA	NA	-0.228186663349776	NA	-0.544151848463258	-0.00480000000000003	NA	NA
Absprache	NA	NA	-0.0718	0.257223291130224	NA	NA	NA	NA	NA	0.176239912925334	NA	0.612386096493743	NA	NA	0.0911136107986503
Abstand	NA	NA	-0.1	0.372775172907103	NA	-0.102691924067797	NA	-0.0141791252722973	NA	NA	NA	0.485425664115024	NA	NA	NA
absteigen	NA	NA	-0.188	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.446353130531867	-0.4776	NA	NA
absterben	NA	NA	-0.39	NA	NA	NA	NA	NA	0.228186663349776	-0.228186663349776	-1	-0.598624120560612	NA	NA	NA
Abstieg	NA	NA	-0.3496	NA	NA	-0.457627118644068	-0.228186663349776	-0.43676229783621	NA	-0.228186663349776	NA	0.00725162635018828	-0.3215	-0.341	NA
abstimmen	NA	NA	0.2418	0.257223291130224	NA	NA	NA	NA	NA	0.176239912925334	NA	0.311955227603518	0.004	NA	NA
Abstimmung	NA	NA	0.0466	NA	NA	NA	NA	NA	NA	0.176239912925334	NA	0.583336626112637	0.004	NA	0.19910011248594
abstoßen	NA	NA	NA	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.362523627047114	-0.1796	NA	NA
abstoßend	NA	NA	NA	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.559218921671601	-0.5859	-0.857	NA
abstrus	NA	NA	-0.249	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.364049950223253	NA	NA	NA
Abstumpfung	NA	NA	-0.562	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-1	-0.231077985660772	-0.00480000000000003	NA	NA
Absturz	NA	NA	-0.5594	NA	-0.689655172413793	-0.661016949152542	NA	-0.496013273516728	NA	-0.228186663349776	NA	-0.352852522337777	-0.4739	-0.681	NA
abstürzen	NA	NA	-0.4092	NA	NA	NA	NA	NA	NA	-0.228186663349776	NA	-0.0327652802881907	-0.4697	-0.615	NA
absurd	NA	NA	-0.2716	NA	-0.344827586206897	-0.322033898305085	NA	NA	-0.228186663349776	-0.228186663349776	-1	-0.510071034551235	-0.212	-0.8	NA
Absurdität	NA	NA	-0.3642	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	NA	-0.544415714410389	-0.00480000000000003	NA	NA
Abszess	NA	NA	-0.4884	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	NA	-1	-0.429720842143896	NA	NA	NA
Abteilung	NA	NA	-0.2372	0.257223291130224	NA	NA	NA	NA	NA	NA	0	-0.464441836595097	NA	NA	-0.0213723284589424
abtöten	NA	NA	-0.346	NA	NA	NA	NA	NA	0.228186663349776	-0.228186663349776	-0.7	-0.659850917029362	NA	NA	NA
Abtragung	NA	NA	-0.4606	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.3374222549824	NA	NA	NA
aburteilen	NA	NA	-0.68	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-1	-0.598624120560612	NA	NA	NA
Abwärtstrend	NA	NA	-0.1154	NA	NA	NA	NA	NA	0.228186663349776	-0.228186663349776	-1	-0.342909111057703	-0.1941	NA	NA
Abwechslung	NA	NA	0.3776	NA	NA	NA	NA	NA	NA	0.176239912925334	NA	0.459184821209189	NA	0.75	0.577052868391451
abwechslungsreich	NA	NA	0.4942	NA	NA	NA	NA	NA	0.176239912925334	0.176239912925334	0.7	0.59907957568476	0.5797	0.777	NA
abwegig	NA	NA	-0.2186	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-1	-0.411040616199889	NA	NA	NA
Abweichung	NA	NA	-0.3784	NA	NA	NA	NA	NA	NA	-0.228186663349776	NA	-0.129023158603446	-0.3462	NA	-0.172103487064117
abweisen	NA	NA	-0.3212	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.299910304778548	-0.00480000000000003	NA	NA
abweisend	NA	NA	-0.2878	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	0.176239912925334	-0.7	0.0440063433512707	NA	NA	NA
abwerben	NA	NA	-0.2306	NA	NA	NA	NA	NA	-0.228186663349776	0.176239912925334	-0.7	0.0775347307824144	NA	NA	NA
Abwertung	NA	NA	-0.4796	NA	NA	NA	NA	NA	NA	-0.228186663349776	NA	0.00549105192346611	-0.3283	NA	-0.601799775028121
Abwesenheit	NA	NA	-0.3122	NA	NA	NA	-0.228186663349776	NA	NA	-0.228186663349776	NA	-0.736467768483703	NA	NA	-0.286839145106862
abwiegeln	NA	NA	-0.4526	NA	NA	NA	NA	NA	-0.228186663349776	0.176239912925334	-0.5	0.313842177463347	NA	NA	NA
Abzocke	NA	NA	-0.494	NA	NA	NA	-0.228186663349776	NA	NA	-0.228186663349776	NA	0.0174844152071405	-0.00480000000000003	-0.87	NA
Abzug	NA	NA	-0.1196	NA	NA	-0.152542372881356	NA	NA	NA	-0.228186663349776	NA	0.285262376431306	NA	NA	-0.397075365579303
achtbar	NA	NA	0.1052	NA	NA	NA	NA	NA	0.176239912925334	0.176239912925334	0.7	0.42444051509236	NA	NA	NA
achten	0.654320987654321	NA	0.1984	NA	NA	0.423728813559322	NA	NA	0.176239912925334	NA	0.7	0.319104230792925	NA	NA	NA
ächten	NA	NA	-0.4188	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-1	-0.598624120560612	NA	NA	NA
achtlos	NA	NA	-0.3656	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.2706269633296	-0.00480000000000003	NA	NA
Achtlosigkeit	NA	NA	-0.6898	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	NA	-0.544415714410389	-0.00480000000000003	NA	NA
achtsam	NA	NA	0.4588	NA	NA	NA	NA	NA	0.176239912925334	0.176239912925334	0.5	0.377545871445401	NA	NA	NA
Achtung	NA	0.253928866832093	0.321	NA	NA	0.220338983050848	NA	NA	NA	-0.228186663349776	NA	-0.210057023837907	NA	NA	NA
achtungsvoll	NA	NA	0.3722	NA	NA	NA	NA	NA	0.176239912925334	0.176239912925334	0.7	0.596453313279584	NA	NA	NA
ächzen	NA	NA	-0.4326	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.327816377347053	NA	NA	NA
adäquat	NA	NA	-0.0109999999999999	NA	NA	NA	NA	NA	0.176239912925334	0.176239912925334	0.5	0.538435316845906	NA	NA	NA
adelig	NA	-0.00976013234077733	-0.0448	NA	NA	NA	NA	NA	0.176239912925334	NA	0.5	0.266221903576721	NA	NA	NA
adeln	NA	NA	0.1634	NA	NA	0.152542372881356	NA	NA	0.176239912925334	0.176239912925334	0.7	0.409141312593602	NA	NA	NA
adlig	NA	NA	-0.0305999999999998	NA	NA	NA	NA	NA	0.176239912925334	0.176239912925334	0.5	0.549351457310212	NA	NA	NA
adrett	NA	NA	0.1312	NA	NA	NA	NA	NA	0.176239912925334	0.176239912925334	1	0.504091387438698	0.1987	NA	NA
Affäre	NA	-0.388254755996692	-0.1614	0.257223291130224	NA	NA	-0.228186663349776	NA	NA	-0.228186663349776	NA	0.0473433064198181	-0.1794	NA	-0.21259842519685
Affe	NA	NA	0.0896000000000001	NA	NA	0.35593220338983	-0.228186663349776	NA	NA	-0.228186663349776	NA	-0.310085521703212	NA	NA	0.352080989876266
Affekt	NA	NA	-0.2454	NA	NA	0.0169491525423728	-0.228186663349776	NA	NA	0	NA	0.0493874869154609	NA	NA	NA
Affekthandlung	NA	NA	-0.5572	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	NA	-0.7	-0.290532292999772	NA	NA	NA
affektiert	-0.530864197530864	NA	-0.2132	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.326124150292353	NA	NA	NA
affig	NA	NA	-0.298	NA	NA	NA	-0.228186663349776	NA	0.228186663349776	-0.228186663349776	-0.7	-0.328288028050401	NA	NA	NA
Affinität	NA	NA	0.1512	NA	NA	NA	NA	NA	0.176239912925334	0	0.7	0.390252763208832	NA	NA	NA
Affront	NA	NA	-0.4	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-1	-0.430048867755277	NA	NA	NA
Agent	NA	NA	-0.196	0.22711149728659	NA	0.169491525423729	NA	NA	NA	NA	NA	0.0517755423954089	NA	NA	0.0708661417322836
Aggression	NA	NA	-0.5614	NA	NA	-0.581256231186441	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-1	-0.805016365381067	-0.4889	NA	-0.698537682789651
Aggression	NA	NA	-0.5614	NA	NA	-0.581256231186441	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-1	-0.805016365381067	-0.4889	NA	-0.698537682789651
aggressiv	-0.617283950617284	-0.791563275434243	-0.5694	NA	-0.551724137931034	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-1	-0.55114717866247	-0.4484	NA	NA
Aggressivität	NA	NA	-0.47	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	-1	-0.441360320235147	-0.1958	NA	NA
agil	NA	NA	0.1226	NA	NA	0.35593220338983	NA	NA	0.176239912925334	0.176239912925334	0.7	0.436343749869786	0.1959	NA	NA
Agitation	NA	NA	-0.595	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.424850929237116	-0.00480000000000003	NA	NA
ahnden	NA	NA	-0.62	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-1	-0.437866162889144	NA	NA	NA
Ahndung	NA	NA	-0.3906	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-1	-0.598624120560612	NA	NA	NA
Ähnlichkeit	NA	NA	0.0322	NA	NA	NA	NA	NA	NA	0.176239912925334	0	0.320290647246258	NA	NA	0.109111361079865
Ahnung	NA	NA	-0.1266	NA	NA	0.254237288135593	NA	NA	NA	0	NA	0.0350591555247408	NA	NA	0.131608548931384
Ahnungslosigkeit	NA	NA	-0.3498	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.527971336606553	NA	NA	NA
Akne	NA	NA	-0.3344	NA	NA	NA	NA	-0.649706107489588	-0.228186663349776	NA	-0.5	-0.146627691096584	NA	NA	NA
akribisch	NA	NA	-0.0949999999999999	NA	NA	NA	NA	NA	0.176239912925334	0.176239912925334	0.5	0.378294244362606	NA	NA	NA
Akteur	NA	NA	0.1314	0.257223291130224	NA	NA	NA	0.160931555663372	NA	0	NA	0.0602026460916971	NA	NA	0.0596175478065244
Aktie	NA	NA	-0.0634	NA	NA	0.220338983050848	NA	NA	NA	NA	0	0.0374795320867842	NA	NA	-0.275590551181102
Aktion	NA	NA	0.2466	0.443529380047375	NA	0.35593220338983	NA	NA	NA	NA	NA	0.00852367048718139	NA	NA	0.399325084364454
aktiv	0.698765432098766	NA	0.2476	0.314183349752387	NA	0.559322033898305	NA	NA	0.176239912925334	0.176239912925334	0.7	0.446772924315977	0.0911	0.529	NA
aktivieren	NA	NA	0.1052	NA	0.279310344827586	NA	NA	NA	0.176239912925334	0.176239912925334	0.5	0.261195263929327	NA	NA	NA
Aktivität	NA	NA	0.3596	NA	NA	0.595214356949152	NA	NA	NA	0.176239912925334	NA	-0.0176089850542729	0.004	NA	0.545556805399325
